X04415.1 Human lymphadenopathy virus (MAL isolate), complete genome	3
D10112.1 Human immunodeficiency virus 1 proviral DNA, complete genome	0
K02013.1 Human immunodeficiency virus type 1, isolate BRU, complete genome (LAV-1)	0
K03454.1 Human immunodeficiency virus type 1, isolate ELI, complete genome	3
M38429.1 Human immunodeficiency virus type 1, isolate JRCSF; complete genome	2
M17449.1 Human immunodeficiency virus type 1, isolate MN, complete genome	1
M27323.1 Human immunodeficiency virus type 1 (HIV-1) proviral complete genome	2
M38431.1 Human immunodeficiency virus type 1, isolate NY5, complete genome. Infectious single LTR molecular proviral genome	0
M26727.1 Human immunodeficiency virus type 1 (HIV-1) proviral DNA, complete genome	2
M17451.1 Human immunodeficiency virus type 1, isolate RF (HAT-3), complete genome	0
M22639.1 Human immunodeficiency virus type 1, isolate Z2 (originally CDC isolate Z34), single LTR clone, complete genome	3
L20571.1 Human immunodeficiency virus type 1, complete genome	1
K02083.1 Human immunodeficiency virus type 1, isolate PV22, complete genome (H9/HTLV-III proviral DNA)	4
U12055.1 Human immunodeficiency virus type 1 isolate LW12.3 from infected lab worker, complete genome	3
U23487.1 Human immunodeficiency virus type 1 kidney sample from Manchester, UK, complete genome	3
U34603.1 Human immunodeficiency virus HIV-1, clone ACH320.2A.1.2, complete genome	2
U34604.1 Human immunodeficiency virus HIV-1, clone ACH320.2A.2.1, complete genome	1
U43141.1 Human immunodeficiency virus type 1 complete genome	0
U46016.1 Human immunodeficiency virus type 1 subtype C complete proviral genome	2
U51188.1 HIV-1 clone 90cf402 from the Central African Republic, complete genome	4
U51189.1 HIV-1 clone 93th253 from Thailand, complete genome	1
U21135.1 Human immunodeficiency virus type 1 clone WEAU 1.60, complete genome	3
U86780.1 HIV-1 clone ZAM184-5.6 from Zambia, complete genome	2
K03455.1 Human immunodeficiency virus type 1 (HXB2), complete genome; HIV1/HTLV-III/LAV reference genome	3
U52953.1 HIV-1 92BR025 from Brazil, complete genome	1
AF004394.1 HIV-1 strain ADA clone AD8, complete genome	1
U51190.1 HIV-1 clone 92ug037 from Uganda, complete genome	2
U88822.1 HIV-1 isolate 84zr085 from Zaire complete genome	3
U88823.1 HIV-1 isolate 92rw009 from Rwanda complete genome	4
U88824.1 HIV-1 isolate 94UG114 from Uganda complete genome	0
U88825.1 HIV-1 isolate 92NG003 from Nigeria complete genome	2
U88826.1 HIV-1 isolate 92NG083 from Nigeria complete genome	2
AF004885.1 HIV-1 isolate Q23-17 from Kenya, complete genome	1
U71182.1 HIV-1 isolate RL42 from China, complete genome	3
AF042100.1 HIV-1 isolate MBC200 from Australia, complete genome	2
AF042101.1 HIV-1 isolate MBC925 from Australia, complete genome	4
AF042102.1 HIV-1 isolate C18 clone MBCC18B from Australia, complete genome	3
AF042103.1 HIV-1 isolate MBCC54 from Australia, complete genome	2
AF042104.1 HIV-1 isolate MBCC98 from Australia, complete genome	3
AF042105.1 HIV-1 isolate MBCD36 from Australia, complete genome	2
AF042106.1 HIV-1 isolate C18 clone PC18RO1 from Australia, complete genome	3
AF049494.1 HIV-1 chimpanzee C499, isolate HIV-1JC, clone HIV-1JC16, from the USA, complete genome	3
AF049495.1 HIV-1 chimpanzee C455, isolate HIV-1NC, clone HIV-1NC7, from the USA, complete genome	4
AF005494.1 HIV-1 isolate 93br020 from Brazil complete genome	4
AF005495.1 HIV-1 isolate 93br029 from Brazil complete genome	4
AF005496.1 HIV-1 isolate 90CR056 from Central African Republic, complete genome	4
AF063223.1 HIV-1 isolate DJ263 from Djibouti, complete genome	3
AF063224.1 HIV-1 isolate DJ264 from Djibouti, complete genome	4
AF069140.1 HIV-1 isolate DH12 clone 3 from the USA, complete genome	4
AF067154.1 HIV-1 isolate 301999 from India, complete genome	3
AF067155.1 HIV-1 isolate 21068 from India, complete genome	3
AF067156.1 HIV-1 isolate 21301 from India, complete genome	0
AF067157.1 HIV-1 isolate 301904 from India, complete genome	4
AF067158.1 HIV-1 isolate 301905 from India, complete genome	1
AF067159.1 HIV-1 isolate 11246 from India, complete genome	1
AF070521.1 HIV-1 E9 from the USA, complete genome	0
AF061640.1 HIV-1 isolate HH8793 clone 1.1 from Finland, complete genome	2
AF061642.1 HIV-1 isolate SE6165 from Sweden, complete genome	3
AF075719.1 HIV-1 isolate MN clone MNTQ from the USA, complete genome	4
AF064699.1 HIV-1 isolate BFP90 from Burkina Faso, complete genome	3
AF069671.1 HIV-1 isolate SE7535 from Uganda, complete genome	3
U69584.1 HIV-1 patient WCIPR sample 1985 clone 54, complete genome	1
U69585.1 HIV-1 patient WCIPR sample 1985 clone 4, complete genome	1
U69586.1 HIV-1 patient WCIPR sample 1985 clone 46, complete genome	1
U69587.1 HIV-1 patient WCIPR sample 1985 clone 52, complete genome	0
U69588.1 HIV-1 patient WCIPR sample 1985 clone 5, complete genome	2
U69589.1 HIV-1 patient WCIPR sample 1990 clone 11, complete genome	1
U69590.1 HIV-1 patient WCIPR sample 1990 clone 12, complete genome	2
U69591.1 HIV-1 patient WCIPR sample 1990 clone 18, complete genome	4
U69592.1 HIV-1 patient WCIPR sample 1990 clone 31, complete genome	4
U69593.1 HIV-1 patient WCIPR sample 1990 clone 32, complete genome	0
AF084936.1 HIV-1 subtype G from Democratic Republic of the Congo, complete genome	4
AF110959.1 HIV-1 isolate C-96BW01B03 country Botswana, complete genome	2
AF110960.1 HIV-1 isolate C-96BW01B21 country Botswana, complete genome	3
AF110961.1 HIV-1 isolate C-96BW01B22 country Botswana, complete genome	1
AF110962.1 HIV-1 isolate C-96BW04.02 country Botswana, complete genome	3
AF110963.1 HIV-1 isolate C-96BW04.07 country Botswana, complete genome	4
AF110964.1 HIV-1 isolate C-96BW04.08 country Botswana, complete genome	4
AF110965.1 HIV-1 isolate C-96BW04.09 country Botswana, complete genome	2
AF110966.1 HIV-1 isolate C-96BW04.10 country Botswana, complete genome	1
AF110967.1 HIV-1 isolate C-96BW05.02 country Botswana, complete genome	4
AF110968.1 HIV-1 isolate C-96BW05.04 country Botswana, complete genome	0
AF110969.1 HIV-1 isolate C-96BW11.04 country Botswana, complete genome	4
AF110970.1 HIV-1 isolate C-96BW11.06 country Botswana, complete genome	3
AF110971.1 HIV-1 isolate C-96BW11B01 country Botswana, complete genome	4
AF110972.1 HIV-1 isolate C-96BW12.10 country Botswana, complete genome	1
AF110973.1 HIV-1 isolate C-96BW15B03 country Botswana, complete genome	2
AF110974.1 HIV-1 isolate C-96BW15C02 country Botswana, complete genome	0
AF110975.1 HIV-1 isolate C-96BW15C05 country Botswana, complete genome	0
AF110976.1 HIV-1 isolate C-96BW16B01 country Botswana, complete genome	0
AF110977.1 HIV-1 isolate C-96BW16D14 country Botswana, complete genome	0
AF110978.1 HIV-1 isolate C-96BW16.26 country Botswana, complete genome	3
AF110979.1 HIV-1 isolate C-96BW17A09 country Botswana, complete genome	3
AF110980.1 HIV-1 isolate C-96BW17B03 country Botswana, complete genome	0
AF110981.1 HIV-1 isolate C-96BW17B05 country Botswana, complete genome	3
AF082394.1 HIV-1 subtype J strain SE9280 from Sweden gag protein (gag), pol protein (pol), vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds	2
AF082395.1 HIV-1 subtype J strain SE9173 from Sweden gag protein (gag), pol protein (pol), vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds	1
AF033819.3 HIV-1, complete genome	0
AF075702.1 HIV-1 isolate SE8603 from Uganda, complete genome	2
AF075701.1 HIV-1 isolate SE6954 from Uganda, complete genome	3
AF076474.1 HIV-1 isolate VI354 from Gabon, complete genome	0
AF076475.1 HIV-1 isolate VI1126 from Democratic Republic of the Congo, complete genome	3
AF077336.1 HIV-1 isolate VI850 from Democratic Republic of the Congo, complete genome	2
AF076998.1 HIV-1 isolate VI961 from Democratic Republic of the Congo, complete genome	3
AF107770.1 HIV-1 isolate SE7812 from Sweden, complete genome	3
AF107771.1 HIV-1 isolate SE8131 from Sweden, complete genome	2
AB032740.1 Human immunodeficiency virus 1 proviral DNA, complete genome, isolate: 95TNIH022	1
AB032741.1 Human immunodeficiency virus 1 proviral DNA, complete genome, isolate: 95TNIH047	2
AF075703.1 HIV-1 isolate FIN9363 subtype F1 from Finland, complete genome	0
AF184155.1 HIV-1 G829 from Ghana complete genome	4
